"Grupo";"Norma";"Título";"Publicación";"Organismo";"idNorma";"idParte";"Url"
"Accesibilidad Universal";"Ley 21690";"INTRODUCE MODIFICACIONES AL CÓDIGO DEL TRABAJO Y OTROS CUERPOS LEGALES EN MATERIA DE INCLUSIÓN LABORAL DE PERSONAS CON DISCAPACIDAD Y ASIGNATARIAS DE PENSIÓN DE INVALIDEZ";"24-AGO-2024";"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA";"1206100";"0";"https://www.leychile.cl/Navegar?idNorma=1206100&idParte=0"
"Accesibilidad Universal";"Ley 21275";"MODIFICA EL CÓDIGO DEL TRABAJO  PARA EXIGIR DE LAS EMPRESAS PERTINENTES LA ADOPCIÓN DE MEDIDAS QUE FACILITEN LA INCLUSIÓN LABORAL DE LOS TRABAJADORES CON DISCAPACIDAD";"21-OCT-2020";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL";"1150763";"0";"https://www.leychile.cl/Navegar?idNorma=1150763&idParte=0"
"Accesibilidad Universal";"Ley 21015";"INCENTIVA LA INCLUSIÓN DE PERSONAS CON DISCAPACIDAD AL MUNDO LABORAL";"15-JUN-2017";"MINISTERIO DE DESARROLLO SOCIAL";"1103997";"0";"https://www.leychile.cl/Navegar?idNorma=1103997&idParte=0"
"Accesibilidad Universal";"Ley 20978";"RECONOCE EL DEPORTE ADAPTADO Y PARALÍMPICO";"16-DIC-2016";"MINISTERIO DEL DEPORTE";"1098002";"0";"https://www.leychile.cl/Navegar?idNorma=1098002&idParte=0"
"Accesibilidad Universal";"Ley 20957";"PERMITE QUE PERSONAS EN SITUACIÓN DE DISCAPACIDAD PUEDAN SER NOMBRADAS EN CARGOS DE JUEZ O NOTARIO";"29-OCT-2016";"MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS";"1096101";"0";"https://www.leychile.cl/Navegar?idNorma=1096101&idParte=0"
"Accesibilidad Universal";"Ley 20927";"ESTABLECE NORMAS PARA EL ACCESO DE LA POBLACIÓN CON DISCAPACIDAD AUDITIVA A INFORMACIÓN PROPORCIONADA A TRAVÉS DE CONCESIONARIAS DE RADIODIFUSIÓN TELEVISIVA DE LIBRE RECEPCIÓN Y PERMISIONARIAS DE SERVICIOS LIMITADOS DE TELEVISIÓN";"28-JUN-2016";"MINISTERIO DE DESARROLLO SOCIAL";"1091913";"0";"https://www.leychile.cl/Navegar?idNorma=1091913&idParte=0"
"Accesibilidad Universal";"Ley 20530";"CREA EL MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA. COMITÉ INTERMINISTERIAL DE DESARROLLO SOCIAL Y FAMILIA REEMPLAZARÁ AL COMITÉ DE MINISTROS CREADO EN LA LEY N° 20.422  QUE ESTABLECE NORMAS SOBRE IGUALDAD DE OPORTUNIDADES E INCLUSIÓN SOCIAL DE PERSONAS CON DISCAPACIDAD";"13-OCT-2011";"MINISTERIO DE PLANIFICACIÓN";"1030861";"9193583";"https://www.leychile.cl/Navegar?idNorma=1030861&idParte=9193583"
"Accesibilidad Universal";"Ley 20535";"CONCEDE PERMISO A LOS PADRES DE HIJOS CON DISCAPACIDAD  PARA AUSENTARSE DEL TRABAJO";"03-OCT-2011";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1030318";"0";"https://www.leychile.cl/Navegar?idNorma=1030318&idParte=0"
"Accesibilidad Universal";"Ley 20459";"FACILITA EL ACCESO A LAS PENSIONES BÁSICAS SOLIDARIAS DE INVALIDEZ Y DE VEJEZ";"04-SEP-2010";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DE PREVISIÓN SOCIAL";"1016846";"0";"https://www.leychile.cl/Navegar?idNorma=1016846&idParte=0"
"Accesibilidad Universal";"Ley 20422";"ESTABLECE NORMAS SOBRE IGUALDAD DE OPORTUNIDADES E INCLUSIÓN SOCIAL DE PERSONAS CON DISCAPACIDAD";"10-FEB-2010";"MINISTERIO DE PLANIFICACIÓN";"1010903";"0";"https://www.leychile.cl/Navegar?idNorma=1010903&idParte=0"
