id_norma,titulo,categoria,categoria_reforma,prioridad,impacto_economico,complejidad_burocracia,legislative_action,negative_effects,reason
1204563,CREA EL FONDO DE EMERGENCIA TRANSITORIO POR INCENDIOS Y ESTABLECE OTRAS MEDIDAS PARA LA RECONSTRUCCI,,,,,,"Establecer mecanismos de auditoría independientes para asegurar la transparencia y eficiencia en el uso de los fondos, y limitar la intervención estatal directa en proyectos que puedan ser gestionados",La ley puede crear barreras de entrada para empresas privadas al priorizar proyectos estatales y generar dependencia de subsidios en la región afectada.,"Aunque la ley busca atender una emergencia específica, la creación de un fondo temporal y la intervención estatal en la economía pueden generar distorsiones en el mercado. Es necesario asegurar que lo"
1204681,CREA UN REGISTRO DE DEUDA CONSOLIDADA,,,,,,Modificar para incluir medidas de protección de datos más estrictas y simplificar los requisitos de reporte para pequeñas entidades financieras.,Barreras de entrada a nuevas entidades financieras que no pueden cumplir con los requisitos de reporte.,"Si bien el registro puede mejorar la transparencia y eficiencia del mercado crediticio, la centralización de datos personales sin consentimiento explícito del deudor puede vulnerar la privacidad indiv"
1204707,"MODIFICA LA LEY Nº 21.363 PARA EXIMIR DE LA APLICACIÓN DEL ARTÍCULO 40 BIS DE LA LEY Nº 19.925, A LA",,,,,,"Establecer un plazo claro y limitado para la exención, asegurando que las regulaciones futuras se apliquen de manera equitativa.",Podría crear un precedente de trato desigual y favorecer a grandes distribuidores que pueden acaparar inventarios previos a la regulación.,"La exención temporal puede ser razonable para evitar pérdidas económicas a los comerciantes, pero perpetuarla podría distorsionar el mercado al crear un trato preferencial para ciertos productos. Es i"
1168634,DISPONE MEDIDAS SANITARIAS QUE INDICA POR BROTE DE COVID-19,Sanitarias,simplificacion,8,alto,alta,Reformar la norma para establecer criterios claros de proporcionalidad y temporalidad en las medidas sanitarias.,"Restricciones a la libre circulación y actividad económica, afectando especialmente a PYMEs y trabajadores independientes.","Si bien la norma busca proteger la salud pública en un contexto de emergencia, su implementación puede generar restricciones significativas a la libertad económica y a la libre circulación de personas"
29886,ESTABLECE NUEVO REGIMEN LEGAL PARA LA INDUSTRIA AUTOMOTRIZ,Aduanas,desregulacion,8,alto,alta,Revisar y reducir los requisitos de integración nacional y simplificar los procedimientos de registro y fiscalización para fomentar la competencia y reducir costos.,"Crea barreras de entrada para nuevos competidores, limita la variedad de vehículos disponibles en el mercado y puede aumentar los precios para los consumidores.","La normativa impone restricciones significativas a la importación y ensamblaje de vehículos, favoreciendo la producción local mediante requisitos de integración nacional. Aunque busca fomentar la indu"
269291,CREA EL ESPACIO COSTERO MARINO DE LOS PUEBLOS ORIGINARIOS,Borde Costero,simplificacion,7,medio,alta,"Simplificar el proceso de solicitud y administración, reduciendo los requisitos burocráticos y plazos, y promoviendo la auto-gestión comunitaria.","La complejidad del proceso puede desincentivar la participación de comunidades más pequeñas o con menos recursos, creando barreras de entrada significativas.","La ley busca proteger derechos culturales y usos tradicionales de las comunidades indígenas, lo cual es valioso. Sin embargo, el proceso burocrático para establecer y administrar estos espacios es com"
30227,TRANSFORMA A LA EMPRESA DEL ESTADO POLLA CHILENA DE BENEFICENCIA EN SOCIEDAD ANONIMA,Empresas del Estado y Sociedades en las que participa,desregulacion,7,alto,media,"Modificar la ley para permitir la participación del sector privado en actividades de lotería y apuestas, eliminando el monopolio estatal.","Genera un monopolio estatal en el sector de apuestas y loterías, limitando la competencia y el acceso a nuevos entrantes.","Si bien la transformación en sociedad anónima puede facilitar una gestión más eficiente, la ley permite que el Estado mantenga un monopolio en el ámbito de las apuestas y loterías, restringiendo la co"
1168744,DISPONE MEDIDAS SANITARIAS QUE INDICA POR BROTE DE COVID-19,Sanitarias,simplificacion,7,alto,alta,"Revisar y ajustar las medidas para que sean temporales, proporcionales y basadas en evidencia científica actualizada.","Restricciones a la libre circulación y operación de negocios, afectando especialmente a PYMEs y trabajadores independientes.","Si bien la protección de la salud pública es esencial, la implementación de estas medidas puede generar restricciones significativas a la libertad económica y a la libre circulación de las personas. E"
1067194,REFORMA TRIBUTARIA QUE MODIFICA EL SISTEMA DE TRIBUTACIÓN DE LA RENTA E INTRODUCE DIVERSOS AJUSTES E,Aduanas,simplificacion,7,medio,alta,"Simplificar el sistema de registros y reportes tributarios, y evaluar la eliminación de impuestos que generen distorsiones significativas en el mercado.",Barreras de entrada para PYMEs debido a la complejidad tributaria y costos de cumplimiento elevados.,"La reforma introduce complejidades adicionales al sistema tributario, lo que puede aumentar la carga burocrática y los costos de cumplimiento para las empresas. Sin embargo, algunos cambios, como los "
1206550,ESTABLECE UN NUEVO MARCO DE FINANCIAMIENTO E INTRODUCE MEJORAS AL TRANSPORTE PÚBLICO DE PASAJEROS,,desregulacion,7,medio,alta,"Revisar y ajustar los mecanismos de subsidio para incluir incentivos a la eficiencia y competencia, y evaluar la posibilidad de participación privada en la gestión de servicios.","Barreras de entrada para nuevos operadores privados, dependencia excesiva de subsidios estatales, posible ineficiencia en el uso de recursos públicos.","Aunque la intención de mejorar el transporte público es positiva, la implementación a través de subsidios masivos puede distorsionar el mercado, desincentivar la eficiencia operativa y aumentar el gas"
